employee_id,month,total_monthly_active_hours,expected_monthly_hours,ai_license_active,ai_queries_made,ai_hours_saved_est
1,1/1/2025,359.11,168,1,2051,97.6
1,2/1/2025,324.43,168,1,2334,111.7
1,3/1/2025,339.05,168,1,2184,104.2
1,4/1/2025,340.3,168,1,2550,122.5
1,5/1/2025,354.65000000000003,168,1,2185,99.2
1,6/1/2025,336.06,168,1,1998,94.9
1,7/1/2025,365.1,168,1,1737,81.9
1,8/1/2025,347.17,168,1,2139,101.9
1,9/1/2025,344.52,168,1,1905,90.2
1,10/1/2025,358.7,168,1,1775,83.7
1,11/1/2025,330.02,168,1,2343,112.2
1,12/1/2025,355.85,168,1,2009,100.4
2,1/1/2025,327.61,168,1,2165,108.2
2,2/1/2025,296.74,168,1,2020,101
2,3/1/2025,322.3,168,1,1240,62
2,4/1/2025,324.13,168,1,2040,102
2,5/1/2025,326.48,168,1,1253,62.6
2,6/1/2025,311.72,168,1,1454,72.7
2,7/1/2025,337.41,168,1,1647,82.4
2,8/1/2025,322,168,1,1876,93.8
2,9/1/2025,321.54,168,1,1748,87.4
2,10/1/2025,338.88,168,1,1238,61.9
2,11/1/2025,303.99,168,1,1318,65.9
2,12/1/2025,328.14,168,1,1893,94.6
3,1/1/2025,183.15,168,0,1,0
3,2/1/2025,158.13,168,0,1,0
3,3/1/2025,172.4,168,0,5,0.2
3,4/1/2025,177.05,168,1,6,0.3
3,5/1/2025,170.41,168,0,5,0.2
3,6/1/2025,175.34,168,1,14,0.7
3,7/1/2025,188.74,168,1,10,0.5
3,8/1/2025,169.60999999999999,168,1,13,0.6
3,9/1/2025,182.26,168,1,9,0.4
3,10/1/2025,176.85,168,1,16,0.8
3,11/1/2025,158.03,168,1,22,1.1
3,12/1/2025,175.34,168,1,24,1.2
4,1/1/2025,182.89,168,0,3,0.2
4,2/1/2025,154.44,168,1,6,0.3
4,3/1/2025,159.92,168,1,14,0.7
4,4/1/2025,174.94,168,1,21,1
4,5/1/2025,180.12,168,1,17,0.8
4,6/1/2025,165.44,168,1,33,1.6
4,7/1/2025,185.8,168,1,47,2.4
4,8/1/2025,172.72,168,1,27,1.4
4,9/1/2025,176.46,168,1,36,1.8
