employee_id,annual_base_salary,currency,bonus_target_pct
1,260001,USD,0.16
2,260000,USD,0.15
3,800000,USD,0.5
4,369000,USD,0.5
5,396000,USD,0.5
6,215000,USD,0.3
7,215000,USD,0.3
8,252000,USD,0.3
9,235000,USD,0.3
10,211000,USD,0.3
11,231000,USD,0.3
12,211000,USD,0.3
13,211000,USD,0.3
14,225000,USD,0.3
15,182000,USD,0.3
16,186000,USD,0.3
17,209000,USD,0.3
18,200000,USD,0.3
19,226000,USD,0.3
20,202000,USD,0.3
21,192000,USD,0.3
22,249000,USD,0.3
23,215000,USD,0.3
24,221000,USD,0.3
25,192000,USD,0.3
26,142000,USD,0.15
27,152000,USD,0.15
28,133000,USD,0.15
29,156000,USD,0.15
30,141000,USD,0.15
31,146000,USD,0.15
32,141000,USD,0.15
33,178000,USD,0.15
34,150000,USD,0.15
35,134000,USD,0.15
36,162000,USD,0.15
37,132000,USD,0.15
38,153000,USD,0.15
39,121000,USD,0.15
40,130000,USD,0.15
41,153000,USD,0.15
42,161000,USD,0.15
43,153000,USD,0.15
44,148000,USD,0.15
45,145000,USD,0.15
46,128000,USD,0.15
47,139000,USD,0.15
48,143000,USD,0.15
49,166000,USD,0.15
50,155000,USD,0.15
51,124000,USD,0.15
52,155000,USD,0.15
53,144000,USD,0.15
54,140000,USD,0.15
55,159000,USD,0.15
56,165000,USD,0.15
57,164000,USD,0.15
58,137000,USD,0.15
59,145000,USD,0.15
60,155000,USD,0.15
61,165000,USD,0.15
62,143000,USD,0.15
63,147000,USD,0.15
64,133000,USD,0.15
65,132000,USD,0.15
66,162000,USD,0.15
67,170000,USD,0.15
68,149000,USD,0.15
69,165000,USD,0.15
70,155000,USD,0.15
71,140000,USD,0.15
72,155000,USD,0.15
73,173000,USD,0.15
74,149000,USD,0.15
75,173000,USD,0.15
76,111000,USD,0.15
77,162000,USD,0.15
78,151000,USD,0.15
79,146000,USD,0.15
80,151000,USD,0.15
81,120000,USD,0.15
82,147000,USD,0.15
83,155000,USD,0.15
84,172000,USD,0.15
85,142000,USD,0.15
86,138000,USD,0.15
87,142000,USD,0.15
88,164000,USD,0.15
89,155000,USD,0.15
90,142000,USD,0.15
91,158000,USD,0.15
92,151000,USD,0.15
93,165000,USD,0.15
94,139000,USD,0.15
95,145000,USD,0.15
96,144000,USD,0.15
97,128000,USD,0.15
98,154000,USD,0.15
99,154000,USD,0.15
100,150000,USD,0.15
101,146000,USD,0.15
102,129000,USD,0.15
103,144000,USD,0.15
104,145000,USD,0.15
105,138000,USD,0.15
106,148000,USD,0.15
107,156000,USD,0.15
108,178000,USD,0.15
109,153000,USD,0.15
110,154000,USD,0.15
111,149000,USD,0.15
112,121000,USD,0.15
113,150000,USD,0.15
114,151000,USD,0.15
115,187000,USD,0.15
116,147000,USD,0.15
117,155000,USD,0.15
118,149000,USD,0.15
119,132000,USD,0.15
120,167000,USD,0.15
121,161000,USD,0.15
122,162000,USD,0.15
123,136000,USD,0.15
124,171000,USD,0.15
125,129000,USD,0.15
126,159000,USD,0.15
127,183000,USD,0.15
128,135000,USD,0.15
129,142000,USD,0.15
130,151000,USD,0.15
131,142000,USD,0.15
132,127000,USD,0.15
133,151000,USD,0.15
134,134000,USD,0.15
135,157000,USD,0.15
136,136000,USD,0.15
137,173000,USD,0.15
138,138000,USD,0.15
139,145000,USD,0.15
140,162000,USD,0.15
141,132000,USD,0.15
142,153000,USD,0.15
143,170000,USD,0.15
144,126000,USD,0.15
145,153000,USD,0.15
146,154000,USD,0.15
147,162000,USD,0.15
148,131000,USD,0.15
149,130000,USD,0.15
150,158000,USD,0.15
151,154000,USD,0.15
152,154000,USD,0.15
153,155000,USD,0.15
154,140000,USD,0.15
155,153000,USD,0.15
156,154000,USD,0.15
157,139000,USD,0.15
158,178000,USD,0.15
159,157000,USD,0.15
160,132000,USD,0.15
161,160000,USD,0.15
162,135000,USD,0.15
163,162000,USD,0.15
164,167000,USD,0.15
165,138000,USD,0.15
166,164000,USD,0.15
167,156000,USD,0.15
168,162000,USD,0.15
169,178000,USD,0.15
170,146000,USD,0.15
171,139000,USD,0.15
172,137000,USD,0.15
173,138000,USD,0.15
174,149000,USD,0.15
175,155000,USD,0.15
176,154000,USD,0.15
177,162000,USD,0.15
178,150000,USD,0.15
179,172000,USD,0.15
180,146000,USD,0.15
181,191000,USD,0.15
182,159000,USD,0.15
183,137000,USD,0.15
184,134000,USD,0.15
185,157000,USD,0.15
186,147000,USD,0.15
187,161000,USD,0.15
188,157000,USD,0.15
189,149000,USD,0.15
190,137000,USD,0.15
191,127000,USD,0.15
192,143000,USD,0.15
193,163000,USD,0.15
194,153000,USD,0.15
195,131000,USD,0.15
196,153000,USD,0.15
197,156000,USD,0.15
198,137000,USD,0.15
199,152000,USD,0.15
200,151000,USD,0.15
201,133000,USD,0.15
202,155000,USD,0.15
203,158000,USD,0.15
204,166000,USD,0.15
205,166000,USD,0.15
206,129000,USD,0.15
207,136000,USD,0.15
208,158000,USD,0.15
209,158000,USD,0.15
210,158000,USD,0.15
211,208000,USD,0.15
212,159000,USD,0.15
213,167000,USD,0.15
214,164000,USD,0.15
215,160000,USD,0.15
216,145000,USD,0.15
217,161000,USD,0.15
218,138000,USD,0.15
219,146000,USD,0.15
220,143000,USD,0.15
221,151000,USD,0.15
222,185000,USD,0.15
223,122000,USD,0.15
224,160000,USD,0.15
225,126000,USD,0.15
226,143000,USD,0.15
227,166000,USD,0.15
228,151000,USD,0.15
229,134000,USD,0.15
230,139000,USD,0.15
231,160000,USD,0.15
232,139000,USD,0.15
233,153000,USD,0.15
234,151000,USD,0.15
235,140000,USD,0.15
236,182000,USD,0.15
237,160000,USD,0.15
238,120000,USD,0.15
239,153000,USD,0.15
240,140000,USD,0.15
241,163000,USD,0.15
242,138000,USD,0.15
243,148000,USD,0.15
244,158000,USD,0.15
245,163000,USD,0.15
246,132000,USD,0.15
247,145000,USD,0.15
248,143000,USD,0.15
249,140000,USD,0.15
250,176000,USD,0.15
251,156000,USD,0.15
252,131000,USD,0.15
253,164000,USD,0.15
254,182000,USD,0.15
255,165000,USD,0.15
256,127000,USD,0.15
257,143000,USD,0.15
258,169000,USD,0.15
259,139000,USD,0.15
260,157000,USD,0.15
261,162000,USD,0.15
262,136000,USD,0.15
263,149000,USD,0.15
264,101000,USD,0.15
265,135000,USD,0.15
266,146000,USD,0.15
267,131000,USD,0.15
268,174000,USD,0.15
269,129000,USD,0.15
270,143000,USD,0.15
271,152000,USD,0.15
272,172000,USD,0.15
273,128000,USD,0.15
274,167000,USD,0.15
275,150000,USD,0.15
276,75000,USD,0.15
277,112000,USD,0.15
278,105000,USD,0.15
279,85000,USD,0.15
280,102000,USD,0.15
281,90000,USD,0.15
282,103000,USD,0.15
283,117000,USD,0.15
284,140000,USD,0.15
285,69000,USD,0.15
286,153000,USD,0.15
287,51000,USD,0.15
288,96000,USD,0.15
289,115000,USD,0.15
290,107000,USD,0.15
291,84000,USD,0.15
292,95000,USD,0.15
293,88000,USD,0.15
294,85000,USD,0.15
295,121000,USD,0.15
296,109000,USD,0.15
297,83000,USD,0.15
