review_date,employee_id,performance_score,potential_rating
6/30/2025,1,5,High
6/30/2025,2,5,Medium
6/30/2025,3,2.9,Medium
6/30/2025,4,2,High
6/30/2025,5,1.8,Low
6/30/2025,6,2.7,Medium
6/30/2025,7,4.1,Medium
6/30/2025,8,4.2,High
6/30/2025,9,3.4,High
6/30/2025,10,3.3,Low
6/30/2025,11,2.9,Medium
6/30/2025,12,1.4,Medium
6/30/2025,13,4.1,High
6/30/2025,14,3.5,Medium
6/30/2025,15,2.5,Low
6/30/2025,16,4.3,Medium
6/30/2025,17,2.3,Medium
6/30/2025,18,4.1,Medium
6/30/2025,19,1.8,Low
6/30/2025,20,5,Medium
6/30/2025,21,2.1,Medium
6/30/2025,22,4.2,Medium
6/30/2025,23,2.7,Medium
6/30/2025,24,3.7,Medium
6/30/2025,25,4.6,Medium
6/30/2025,26,3,Low
6/30/2025,27,5,Medium
6/30/2025,28,4.6,Medium
6/30/2025,29,2,Medium
6/30/2025,30,3.2,Medium
6/30/2025,31,3,Medium
6/30/2025,32,3.3,High
6/30/2025,33,2.9,Low
6/30/2025,34,2.5,Medium
6/30/2025,35,3.2,Medium
6/30/2025,36,3.7,High
6/30/2025,37,1.2,Low
6/30/2025,38,3.9,Medium
6/30/2025,39,3.3,High
6/30/2025,40,4.4,High
6/30/2025,41,2.8,Medium
6/30/2025,42,2.7,Low
6/30/2025,43,2.6,Medium
6/30/2025,44,3.6,Medium
6/30/2025,45,1.7,Medium
6/30/2025,46,2.6,Low
6/30/2025,47,3.4,Low
6/30/2025,48,2,Medium
6/30/2025,49,3.3,Medium
6/30/2025,50,4.3,Medium
6/30/2025,51,4.1,High
6/30/2025,52,3.1,Medium
6/30/2025,53,4,Medium
6/30/2025,54,3.6,High
6/30/2025,55,3.4,Medium
6/30/2025,56,3.7,Low
6/30/2025,57,2.9,Medium
6/30/2025,58,3,Medium
6/30/2025,59,3.6,Low
6/30/2025,60,3.2,Medium
6/30/2025,61,4.1,Medium
6/30/2025,62,3.8,Medium
6/30/2025,63,3.8,Medium
6/30/2025,64,3.6,Medium
6/30/2025,65,3.4,Medium
6/30/2025,66,3.8,High
6/30/2025,67,4,Medium
6/30/2025,68,3.5,Medium
6/30/2025,69,2.5,Medium
6/30/2025,70,3.2,Medium
6/30/2025,71,2,Medium
6/30/2025,72,4.2,Medium
6/30/2025,73,3.8,Medium
6/30/2025,74,2.5,Medium
6/30/2025,75,2.7,High
6/30/2025,76,4.3,High
6/30/2025,77,2.6,High
6/30/2025,78,2,Low
6/30/2025,79,2.3,Medium
6/30/2025,80,3,Medium
6/30/2025,81,2.8,High
6/30/2025,82,2.9,High
6/30/2025,83,3.8,High
6/30/2025,84,2.7,Medium
6/30/2025,85,3.5,High
6/30/2025,86,2.3,Medium
6/30/2025,87,4.2,Medium
6/30/2025,88,2.4,Medium
6/30/2025,89,3.2,High
6/30/2025,90,3.1,Medium
6/30/2025,91,3.5,Medium
6/30/2025,92,3.9,Low
6/30/2025,93,2.9,Medium
6/30/2025,94,3.9,Medium
6/30/2025,95,4.1,High
6/30/2025,96,3,High
6/30/2025,97,4.6,Medium
6/30/2025,98,3.5,Medium
6/30/2025,99,2.9,Low
6/30/2025,100,3.3,Medium
6/30/2025,101,4.6,Medium
6/30/2025,102,3.5,Medium
6/30/2025,103,3.5,Low
6/30/2025,104,3.6,Medium
6/30/2025,105,3.9,Medium
6/30/2025,106,3.5,Low
6/30/2025,107,3.7,Medium
6/30/2025,108,3.3,Medium
6/30/2025,109,3.3,Medium
6/30/2025,110,4,Medium
6/30/2025,111,2.6,Low
6/30/2025,112,3.2,High
6/30/2025,113,3,Medium
6/30/2025,114,2.1,Medium
6/30/2025,115,2.2,Medium
6/30/2025,116,3.2,Medium
6/30/2025,117,4,Low
6/30/2025,118,3.4,Medium
6/30/2025,119,2.8,Medium
6/30/2025,120,4.3,Low
6/30/2025,121,2.9,High
6/30/2025,122,2.4,Medium
6/30/2025,123,4.7,Medium
6/30/2025,124,3.3,Medium
6/30/2025,125,4.5,Medium
6/30/2025,126,3.2,High
6/30/2025,127,3.2,Medium
6/30/2025,128,2.1,Low
6/30/2025,129,2.9,High
6/30/2025,130,3.6,Low
6/30/2025,131,3.7,Low
6/30/2025,132,3.3,High
6/30/2025,133,3,Medium
6/30/2025,134,3.2,Medium
6/30/2025,135,2.4,Medium
6/30/2025,136,4.4,Low
6/30/2025,137,3.8,Low
6/30/2025,138,3.1,High
6/30/2025,139,2.8,Medium
6/30/2025,140,4.7,Medium
6/30/2025,141,2.7,High
6/30/2025,142,3,High
6/30/2025,143,4.4,Medium
6/30/2025,144,3.4,High
